aspect,yorum_sayisi
Genel Memnuniyet / Diger,268
Pisirme Performansi,207
Hediye / Anne,103
Tesekkur / Memnuniyet,88
Fiyat-Performans,86
Tavsiye / Genel Memnuniyet,80
Genel Begeni,77
Kargo ve Paketleme,66
Kullanim Memnuniyeti,52
Kapasite / Aile Uygunlugu,50
Anne Memnuniyeti,34
Indirim / Fiyat,32
