urun adi,urun url,temiz urun yorum,puan,tarih,bulunan_aspectler,aspect_sayisi
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,çok rahat bir ayakkabı ancak numaralarda bir sorun var normalde 37 5 giyiyorum olmadığından 38 aldım o bile 37 numara gibi küçük parmağım dayandı 38 giyen biri 39 alsa bu sefer de büyük gelecek bence tam numaranızı almayın 1 numara büyük alın ve içine keçe falan koyun daha denemeden bu 37 dedim ama altında 38 yazıyor üretim hatası olduğunu düşünüyorum,5,20 Haziran 2025,[beden],1
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,çok iyi tavsiye edilir,5,6 Şubat 2026,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,fiya perfonmans ürünü,5,10 Şubat 2026,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,güzelll parasına göre yani çok bir şey beklemeyin,4,5 Mart 2026,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,bu kadar özensiz bir paketleme göç görmemiştim biri farklı numara nasıl yollanabiliyor anlamış değilim müşterilerinize karşı saygı özen göz kamaştırıyor,1,26 Nisan 2025,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,kargo hızlıydı bi günde elime ulaştı paketleme de güzeldi ama defolu geldi,2,26 Eylül 2025,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,ayakkabı fotoğraflarda nasıl güzel duruyor sipariş verdim beş kuruş etmez insan iplerini takar yollar sanki siparişi hazırlayan personel zorla yaptırılmış gibi,1,2 Kasım 2025,[tasarım],1
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,lekeli ve dikisleri sökük,1,24 Eylül 2025,[],0
"Liger Unisex Bağcıklı Spor Sneaker Ayakkabı BEYAZ - BEYAZ - Fiyatı, Yorumları",https://www.trendyol.com/liger/unisex-bagcikli-spor-sneaker-ayakkabi-beyaz-beyaz-p-905059922,kalitesiz iki gün bile giyemezsin verdiğim paraya yazık,1,29 Eylül 2025,[],0
"pasyone Siyah - Unisex Yazlık Sneaker Ayakkabı - Fiyatı, Yorumları",https://www.trendyol.com/pasyone/siyah-unisex-yazlik-sneaker-ayakkabi-p-242585669,anneme anneler gününde aldım hem duruşu çok güzel hemde çok rahat tavsiye ediyorum tereddüt etmeden alın,5,18 Mayıs 2023,[tasarım],1
"pasyone Siyah - Unisex Yazlık Sneaker Ayakkabı - Fiyatı, Yorumları",https://www.trendyol.com/pasyone/siyah-unisex-yazlik-sneaker-ayakkabi-p-242585669,kendi numaranizi alabilirsiniz gayet güzel ve rahat bir ayakkabı tavsiye ederim,5,26 Ekim 2024,[tasarım],1
"pasyone Siyah - Unisex Yazlık Sneaker Ayakkabı - Fiyatı, Yorumları",https://www.trendyol.com/pasyone/siyah-unisex-yazlik-sneaker-ayakkabi-p-242585669,kendim için aldım ürün gayet hoş güzel rahatlıkla giyilebilir kendi numaranızı almanızı tavsiye ederim kargolama ve paketleme çok iyiydi,5,9 Aralık 2024,[tasarım],1
"pasyone Siyah - Unisex Yazlık Sneaker Ayakkabı - Fiyatı, Yorumları",https://www.trendyol.com/pasyone/siyah-unisex-yazlik-sneaker-ayakkabi-p-242585669,kendim için aldım giyiyorum çok rahat tavsiye ederim,5,29 Aralık 2024,[],0
"pasyone Siyah - Unisex Yazlık Sneaker Ayakkabı - Fiyatı, Yorumları",https://www.trendyol.com/pasyone/siyah-unisex-yazlik-sneaker-ayakkabi-p-242585669,çok güzel ve çok rahat bir ayakkabı kendi numaranızı alabilirsiniz,5,12 Mart 2024,[tasarım],1
